,MAE,sMAPE,rMAE
2018-01-01,0.7643321418762206,2.9611224893770234,2.3103238545376947
2018-01-02,4.748296019236247,14.921358253002328,0.8351711576523998
2018-01-03,0.8771935526529947,3.0232412958719928,0.327820698593458
2018-01-04,3.8700271097819012,12.025675910254098,2.5915360110146666
2018-01-05,1.9882964897155766,6.3574513127554955,0.7844668050825879
2018-01-06,1.2760878626505532,3.981926588431263,0.3122882502662718
2018-01-07,1.5427456887563071,5.290872809653475,0.8517574541097623
2018-01-08,3.9510742855072025,11.85442306350588,0.6123718621386688
2018-01-09,1.2069587866465248,3.940144387811908,0.43697406666943117
2018-01-10,9.802160965601603,25.422007619830538,0.8793475990522127
2018-01-11,10.797803977330526,25.38773430866716,0.976734869048442
2018-01-12,4.6938782374064125,12.891249116162987,1.0159909604775785
2018-01-13,1.056155522664388,3.2556687267189104,1.4058642564584198
2018-01-14,1.0457500235239665,3.4793099738570943,0.8557108954850051
2018-01-15,0.9753890260060628,3.2366729890627326,0.25442165660412464
2018-01-16,3.056553993225098,9.242736253796888,1.732576661251826
2018-01-17,3.76624849319458,10.898682385879932,0.6028811034260649
2018-01-18,5.042113974889119,14.178132072129285,0.632306068540803
2018-01-19,7.640700464248657,19.514132952436473,1.8860106051832537
2018-01-20,2.734025786717732,8.34521216125798,2.1598623726539032
2018-01-21,0.922297093073527,2.8931430616904255,0.4983145032364847
2018-01-22,8.158192615509032,21.35797687469585,0.835523695366633
2018-01-23,3.6723538589477536,10.248873898434525,0.9031303680166626
2018-01-24,1.711950337092082,5.86761634283052,0.34940733132247614
2018-01-25,2.0380645593007407,6.9166976403137905,0.3321126386693222
2018-01-26,2.3289187431335456,7.220105621153487,0.3132021171982803
2018-01-27,1.060135386784872,3.439363889629122,0.8306643579117506
2018-01-28,1.124243335723877,3.9111923784978004,0.33245244033234417
2018-01-29,1.215704549153646,4.1288697766139455,0.12486373595107418
2018-01-30,2.9693897310892736,9.012178775411021,0.6945940891436897
2018-01-31,2.2306519317626954,7.282561553793619,1.8991006159029684
2018-02-01,1.4416058572133377,4.699142062152112,1.1788259139052846
2018-02-02,4.856493698755901,13.803054901981108,1.5501509345676505
2018-02-03,2.6293890126546215,7.697506186258189,0.8037872411630487
2018-02-04,1.8371479574839267,5.268868407992716,0.3391136054423492
2018-02-05,11.62247738202413,26.94991879421087,0.7523856534729976
