,MAE,sMAPE,rMAE
2018-01-01,6.127905262460312,77.65475137967725,0.15496193779072934
2018-01-02,14.07419401963552,44.748491632041045,1.1567434556051248
2018-01-03,9.797743581136068,45.56862537774366,1.5118030471085613
2018-01-04,6.889103720982869,32.53584004893678,0.6549615326556364
2018-01-05,12.508959172566733,40.234543591254486,1.2862682953796127
2018-01-06,5.356987333297728,11.831454735258497,0.4597285847069495
2018-01-07,12.343586403528848,30.61688460266017,0.4268183403709837
2018-01-08,11.450239467620849,19.512136991493577,0.19922699456479845
2018-01-09,4.5696033732096355,7.443412291237027,0.21868926789573326
2018-01-10,12.662020270029705,21.41992513518973,0.7416436521798973
2018-01-11,4.124009364446004,9.11665936751797,0.28321808666467535
2018-01-12,3.969195524851481,7.846797952677355,0.22253011725947378
2018-01-13,1.6107335535685223,2.9905648389824253,0.16229734785526068
2018-01-14,3.9034472084045415,7.644181910069377,0.3544828704469086
2018-01-15,4.4621630541483555,7.431448541753273,0.6267449716132764
2018-01-16,3.082514095306397,6.421125870687416,0.4369003619403152
2018-01-17,2.7322214190165206,5.505665911739358,0.3091039599151339
2018-01-18,5.437497755686443,8.952987879327441,0.821839827044994
2018-01-19,3.2965488370259606,5.847473506863948,0.6059832421003604
2018-01-20,4.994087212880452,10.197394422542597,0.6295398556075994
2018-01-21,4.508607454299926,10.456352287287503,0.45022292961304083
2018-01-22,4.19778128306071,7.605518275482387,0.9187192302886835
2018-01-23,3.097819830576579,5.9997453021968274,0.4804683723267281
2018-01-24,5.353762137095134,9.109484252915202,0.7258928382028316
2018-01-25,4.1604869651794445,7.723302879585135,0.8994837146590998
2018-01-26,3.4163320795694982,7.026771055559977,0.5466860242010131
2018-01-27,3.4826145235697425,7.104174766011763,0.8015991998242432
2018-01-28,3.1059744644165037,6.414694993478938,0.46685906648710523
2018-01-29,5.495342814127604,9.995707972679975,2.0802559548748025
2018-01-30,2.1838359832763667,4.283357931254548,0.5467563488277989
2018-01-31,3.659904079437256,6.975605382995475,1.4770085405497588
2018-02-01,4.6454447046915694,8.830948427473002,1.4371058637870286
2018-02-02,3.669694881439208,7.561222325546267,1.270523328830655
2018-02-03,4.476790726979574,9.266576814317984,1.0716435013715315
2018-02-04,6.506473248799641,13.455156139282831,1.2647230741977113
