,MAE,sMAPE,rMAE
2018-01-01,11.612528173128766,69.59466524867909,0.9278887873055346
2018-01-02,10.727084496816,37.159543417585674,0.38371542600468594
2018-01-03,7.225971654256185,49.90007780658039,0.9343425445943021
2018-01-04,5.630186239878337,16.225259607258216,1.0006255165660551
2018-01-05,8.10145081837972,28.571703307168583,0.6654852299726641
2018-01-06,3.2579418690999353,8.694999763792017,0.2960980227151833
2018-01-07,4.076347408294677,14.915293610004888,0.5445112584130475
2018-01-08,4.77037758509318,15.657549194990805,0.36929572944402406
2018-01-09,3.904218718210855,19.706721126487558,0.544141981632175
2018-01-10,6.720615774790446,16.71458360218028,0.3465425803432681
2018-01-11,7.757358153661092,17.400232903328163,0.7907938482260808
2018-01-12,2.8262885379791256,7.662320879297918,0.2899872810546749
2018-01-13,1.9992800935109456,6.184180111759729,0.5020688735404698
2018-01-14,1.1049032560984295,3.835295095643913,0.5241683760893914
2018-01-15,7.999305950800578,34.3364037206,0.7345832899147269
2018-01-16,12.306432339350385,71.18447162722384,1.7848342769181123
2018-01-17,2.6310581461588547,7.907510830595692,0.3819123957167807
2018-01-18,3.400350437164306,9.479398431546041,0.41237195801891524
2018-01-19,3.744997653961182,9.247478155392024,0.8293803053895761
2018-01-20,4.6281838162740065,12.627432531556353,0.8294855618742154
2018-01-21,3.0782191785176596,8.440444761228468,0.523284178243546
2018-01-22,4.310371046066284,10.78825526345699,0.2813022572551756
2018-01-23,5.436489944458008,15.975710042048345,0.45378137469826524
2018-01-24,5.199684648513794,25.539311622488764,0.522581371709929
2018-01-25,6.37938649813334,36.53923565467991,0.5942143753597772
2018-01-26,2.7085646979014086,7.4164009727431885,0.44490830709488616
2018-01-27,4.162052647272746,19.72328626543848,0.4807221884332543
2018-01-28,8.737877994378408,87.86430915349656,0.354729645564941
2018-01-29,17.069973735809327,70.85326838965538,0.9447235550776523
2018-01-30,4.51973377863566,16.721040909606565,0.550991063581327
2018-01-31,4.431382513046264,14.635604627811475,0.7332679282481408
2018-02-01,1.977742942174275,6.8664845877629554,0.3248192062696407
2018-02-02,2.4181162420908606,6.38553453356982,1.0475593828552463
2018-02-03,1.3552770455678296,3.7748181332871096,0.23356778036498574
2018-02-04,4.044008359909058,12.683724507788405,0.1737739035984699
2018-02-05,5.077787857055664,11.03353803864671,0.21312482917286496
2018-02-06,7.135152804056804,14.461193716750168,0.3938356231396778
2018-02-07,6.622559846242271,14.038313080562684,0.3988793041127677
2018-02-08,7.1283722559611,16.59781920802765,0.6938432661843145
2018-02-09,3.2167661539713546,9.310818245308557,0.9094403074014902
2018-02-10,1.511772991816203,4.5957483491932205,0.7154910629774973
2018-02-11,18.228237851460776,101.85494452007885,0.8281798206024886
2018-02-12,4.923186267217,18.98737247383087,0.26823262295847444
2018-02-13,4.188291673660278,11.167784599721847,0.4086304328137188
2018-02-14,3.2415617593129475,8.483279230803193,0.33491533093766734
2018-02-15,4.895868641535441,15.802860667494171,0.5034527931653052
2018-02-16,1.9102636114756268,5.031050788256517,0.4981671919527875
2018-02-17,4.496358121236166,11.890210208092695,0.7483017468252409
2018-02-18,2.395711688995361,6.51059446733002,0.09717925926357816
2018-02-19,9.828827756245932,20.773879713622296,0.4674828897144319
2018-02-20,9.586423778533936,20.25352599121976,0.8406071270910284
2018-02-21,4.475571002960205,9.051866765873788,0.40238894160127714
2018-02-22,4.016249841054279,7.863665011714825,0.22886787963078806
2018-02-23,4.152964617411295,8.86574173856075,0.48424015361157796
2018-02-24,5.403076502482097,15.709187746264263,1.022664322236359
2018-02-25,4.590120239257812,12.767885105575141,1.7092767376600078
2018-02-26,5.811591828664144,11.725774081242468,0.9846678707231872
2018-02-27,7.147864646911621,15.664918620433617,0.8279779503155505
